Id,POI_Type,POI_Name,POI_InSubzone,POI_Latitude,POI_Longitude
1,MRT,Yio Chu Kang,228,1.381758,103.844801
2,MRT,Expo,213,1.334549,103.961546
3,MRT,Marymount,236,1.348777,103.839413
4,MRT,Botanic Gardens,164,1.322229,103.815469
5,MRT,Braddell,148,1.340444,103.8468
6,MRT,Caldecott,148,1.337659,103.839541
7,MRT,Toa Payoh,200,1.332677,103.847421
8,MRT,Tiong Bahru,42,1.28622,103.827034
9,MRT,Stadium,68,1.302854,103.875348
10,MRT,Tanjong Pagar,62,1.276515,103.845854
11,MRT,Tampines,189,1.353289,103.945159
12,MRT,Marina South Pier,23,1.271377,103.862911
13,MRT,Somerset,53,1.300258,103.839075
14,MRT,Outram Park,32,1.28021,103.839354
15,MRT,Simei,214,1.343197,103.953377
16,MRT,Serangoon,180,1.350005,103.873137
17,MRT,Sengkang,272,1.391528,103.895416
18,MRT,Redhill,5,1.28962,103.81679
19,MRT,Raffles Place,38,1.284067,103.851459
20,MRT,Potong Pasir,139,1.331387,103.86907
21,MRT,Pasir Ris,254,1.372952,103.949258
24,MRT,Newton,121,1.312958,103.838038
25,MRT,Stevens,90,1.320066,103.826023
26,MRT,Novena,165,1.32043,103.843818
27,MRT,Queenstown,49,1.294611,103.806045
28,MRT,Habourfront,24,1.265457,103.821451
29,MRT,Labrador Park,24,1.272323,103.802928
30,MRT,Telok Blangah,24,1.270582,103.80974
31,MRT,Promenade,45,1.293159,103.860962
34,MRT,Macpherson,197,1.326368,103.890261
35,MRT,Lorong Chuan,194,1.35162,103.864144
36,MRT,Lavender,126,1.307372,103.862838
37,MRT,Kovan,239,1.36018,103.885091
39,MRT,Kembangan,117,1.321038,103.912948
40,MRT,Tai Seng,157,1.335453,103.888165
41,MRT,Hougang,243,1.371281,103.892347
42,MRT,Eunos,170,1.319779,103.903362
43,MRT,Paya Lebar,170,1.317668,103.892595
44,MRT,Little India,120,1.307161,103.84931
45,MRT,Farrer Park,120,1.312448,103.85427
46,MRT,Farrer Road,88,1.317455,103.807489
47,MRT,Dhoby Ghaut,57,1.299375,103.845715
48,MRT,Nicoll Highway,100,1.299803,103.863633
49,MRT,Tan Kah Kee,116,1.325871,103.807331
50,MRT,Buangkok,226,1.382772,103.893092
51,MRT,Commonwealth,70,1.302448,103.798291
52,MRT,Clarke Quay,8,1.288542,103.846605
53,MRT,Esplanade,48,1.29326,103.855612
54,MRT,City Hall,48,1.292933,103.852609
55,MRT,Chinatown,36,1.284447,103.843932
56,MRT,Telok Ayer,36,1.282281,103.848313
57,MRT,Ang Mo Kio,248,1.369949,103.849616
