PropertyID,Gym,Pool,Playground,Tennis,Golf,Cafe,LapPool,KidsPool,Squash,Badminton,Basketball,BBQ,Jacuzzi,Security,Salon,Sauna,Shop
177968,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
326704,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0
363888,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0
438256,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL
2576,1,1,1,1,1,NULL,1,1,1,1,1,1,1,1,NULL,1,1
39760,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
101024,1,1,1,1,NULL,NULL,1,1,1,1,1,1,1,1,NULL,1,1
175392,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
212576,1,1,1,1,1,NULL,1,1,1,1,1,1,1,1,NULL,1,1
324128,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
361312,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1
5152,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
324128,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
361312,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1
5152,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42336,1,1,1,1,1,NULL,1,1,1,1,1,1,1,1,NULL,1,1
61264,1,1,1,1,1,NULL,1,1,1,1,1,1,1,1,NULL,1,1
79520,1,1,1,1,NULL,NULL,1,1,1,1,1,1,1,1,NULL,1,1
98448,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
116704,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
135632,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1
153888,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1
172816,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1
210000,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
44912,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58688,1,1,1,1,1,NULL,1,1,1,1,1,1,1,1,NULL,1,1
