PropertyID,NumberofSchoolsWithin500Mts,NumberOfMRTsWithin500Mts,NumberOfBusStopsWithin500Mts,TimeToRafflesByCarInSeconds,TimeToRafflesByPublicTransportInSeconds,TimeToAirportByCarInSeconds,TimeToAirportByPublicTransportInSeconds
112,2,1,12,775,1596,1063,4180
224,3,1,14,720,1745,1149,4329
336,0,1,11,580,1712,1186,5801
448,0,0,7,995,3746,1524,7390
560,0,0,9,751,2653,794,5177
672,7,0,2,611,1369,1481,5458
784,0,0,10,756,2695,788,5219
896,0,0,7,972,3579,1501,7223
1008,0,1,18,643,1853,1001,5222
1120,20,1,6,575,1350,1443,5439
1232,0,0,9,440,1809,1540,5898
1344,1,1,2,1025,2557,1187,5326
1456,0,0,12,668,1643,1280,5732
1568,2,0,10,740,1930,1028,4514
1680,0,1,4,584,1562,1341,5155
1792,0,0,4,955,3400,1484,7044
1904,1,0,11,858,2386,1026,4610
2016,0,0,20,807,2817,795,4104
2128,3,0,5,938,2785,1207,5554
2240,3,0,8,631,2026,1237,5878
2352,0,0,15,822,2472,1197,5210
2464,0,1,12,594,1407,1298,5496
2576,3,0,16,719,2293,1314,5742
2688,4,0,10,369,1576,1580,6002
2800,1,0,11,693,2405,861,4875
2912,0,0,9,680,2231,935,5345
3024,2,0,11,835,2588,976,4725
3136,5,1,8,404,1598,1491,5687
3248,0,1,9,1012,3841,1541,7485
3360,0,0,11,631,1899,1289,5988
3472,2,1,10,767,1564,1044,4148
3584,1,0,8,965,3182,1157,5498
3696,0,0,5,682,2578,1114,6007
3808,2,0,0,770,1729,1235,5818
3920,2,0,10,778,2010,1212,6099
4032,0,0,15,537,1700,1540,5964
4144,0,1,15,573,1617,1670,5881
4256,0,0,14,843,2667,863,4531
4368,0,0,10,768,2765,777,5289
4480,1,1,16,688,1831,1046,5200
4592,0,1,10,597,1595,1203,5684
4704,0,0,13,1197,3517,664,3936
4816,0,0,11,971,3198,737,3813
4928,0,0,19,882,2880,902,4462
5040,2,0,8,909,3132,1263,5874
5152,0,0,8,651,2264,906,5266
