SubzoneId,SubzoneCode,SubzoneName,PlanningAreaId,PlanningAreaCode,PlanningAreaName
181,BSSZ03,Bishan East,1,BS,Bishan
186,BSSZ02,Marymount,1,BS,Bishan
236,BSSZ01,Upper Thomson,1,BS,Bishan
237,BKSZ02,Hong Kah North,2,BK,Bukit Batok
233,BKSZ05,Hillview,2,BK,Bukit Batok
255,BKSZ01,Gombak,2,BK,Bukit Batok
183,BKSZ03,Brickworks,2,BK,Bukit Batok
185,BKSZ04,Guilin,2,BK,Bukit Batok
151,BKSZ09,Bukit Batok South,2,BK,Bukit Batok
173,BKSZ08,Bukit Batok East,2,BK,Bukit Batok
174,BKSZ06,Bukit Batok West,2,BK,Bukit Batok
175,BKSZ07,Bukit Batok Central,2,BK,Bukit Batok
4,BMSZ08,Henderson Hill,3,BM,Bukit Merah
5,BMSZ03,Redhill,3,BM,Bukit Merah
6,BMSZ07,Alexandra Hill,3,BM,Bukit Merah
7,BMSZ09,Bukit Ho Swee,3,BM,Bukit Merah
12,BMSZ06,Alexandra North,3,BM,Bukit Merah
24,BMSZ01,Maritime Square,3,BM,Bukit Merah
25,BMSZ14,Telok Blangah Way,3,BM,Bukit Merah
21,BMSZ17,City Terminals,3,BM,Bukit Merah
28,BMSZ11,Kampong Tiong Bahru,3,BM,Bukit Merah
29,BMSZ13,Telok Blangah Drive,3,BM,Bukit Merah
32,BMSZ05,Singapore General Hospital,3,BM,Bukit Merah
33,BMSZ12,Depot Road,3,BM,Bukit Merah
35,BMSZ02,Bukit Merah,3,BM,Bukit Merah
40,BMSZ10,Tiong Bahru,3,BM,Bukit Merah
42,BMSZ04,Tiong Bahru Station,3,BM,Bukit Merah
63,BMSZ16,Everton Park,3,BM,Bukit Merah
61,BMSZ15,Telok Blangah Rise,3,BM,Bukit Merah
188,BPSZ07,Nature Reserve,4,BP,Bukit Panjang
206,BPSZ05,Jelebu,4,BP,Bukit Panjang
210,BPSZ04,Bangkit,4,BP,Bukit Panjang
245,BPSZ06,Dairy Farm,4,BP,Bukit Panjang
222,BPSZ03,Fajar,4,BP,Bukit Panjang
223,BPSZ01,Senja,4,BP,Bukit Panjang
224,BPSZ02,Saujana,4,BP,Bukit Panjang
211,BTSZ01,Anak Bukit,5,BT,Bukit Timah
212,BTSZ02,Swiss Club,5,BT,Bukit Timah
169,BTSZ07,Leedon Park,5,BT,Bukit Timah
156,BTSZ05,Hillcrest,5,BT,Bukit Timah
88,BTSZ08,Farrer Court,5,BT,Bukit Timah
116,BTSZ06,Coronation Road,5,BT,Bukit Timah
134,BTSZ04,Ulu Pandan,5,BT,Bukit Timah
136,BTSZ03,Holland Road,5,BT,Bukit Timah
313,CCSZ01,Central Water Catchment,6,CC,Central Water Catchment
221,CHSZ02,Changi West,7,CH,Changi
271,CHSZ01,Changi Point,7,CH,Changi
269,CHSZ03,Changi Airport,7,CH,Changi
234,CBSZ01,Changi Bay,8,CB,Changi Bay
215,CKSZ04,Peng Siang,9,CK,Choa Chu Kang
219,CKSZ01,Teck Whye,9,CK,Choa Chu Kang
220,CKSZ03,Choa Chu Kang Central,9,CK,Choa Chu Kang
259,CKSZ05,Choa Chu Kang North,9,CK,Choa Chu Kang
264,CKSZ06,Yew Tee,9,CK,Choa Chu Kang
207,CKSZ02,Keat Hong,9,CK,Choa Chu Kang
196,CLSZ02,Sunset Way,10,CL,Clementi
154,CLSZ01,Toh Tuck,10,CL,Clementi
168,CLSZ04,Clementi North,10,CL,Clementi
128,CLSZ09,Pandan,10,CL,Clementi
130,CLSZ06,Clementi Central,10,CL,Clementi
106,CLSZ03,Faber,10,CL,Clementi
78,CLSZ07,Clementi Woods,10,CL,Clementi
91,CLSZ05,West Coast,10,CL,Clementi
74,CLSZ08,Clementi West,10,CL,Clementi
137,GLSZ03,Kampong Ubi,11,GL,Geylang
113,GLSZ01,Kallang Way,11,GL,Geylang
163,GLSZ04,Aljunied,11,GL,Geylang
170,GLSZ05,Geylang East,11,GL,Geylang
197,GLSZ02,Macpherson,11,GL,Geylang
195,NVSZ04,Dunearn,12,NV,Novena
165,NVSZ02,Moulmein,12,NV,Novena
155,NVSZ05,Mount Pleasant,12,NV,Novena
110,NVSZ01,Balestier,12,NV,Novena
107,NVSZ03,Malcolm,12,NV,Novena
265,PRSZ01,Pasir Ris Wafer Fab Park,13,PR,Pasir Ris
254,PRSZ03,Pasir Ris Central,13,PR,Pasir Ris
258,PRSZ04,Pasir Ris Park,13,PR,Pasir Ris
244,PRSZ07,Loyang East,13,PR,Pasir Ris
216,PRSZ02,Pasir Ris West,13,PR,Pasir Ris
229,PRSZ06,Loyang West,13,PR,Pasir Ris
232,PRSZ08,Flora Drive,13,PR,Pasir Ris
246,PRSZ05,Pasir Ris Drive,13,PR,Pasir Ris
235,PLSZ02,Paya Lebar East,14,PL,Paya Lebar
209,PLSZ03,Paya Lebar West,14,PL,Paya Lebar
256,PLSZ05,Plab,14,PL,Paya Lebar
201,PLSZ01,Paya Lebar North,14,PL,Paya Lebar
179,PLSZ04,Airport Road,14,PL,Paya Lebar
280,SLSZ03,Pulau Punggol Timor,15,SL,Seletar
286,SLSZ02,Pulau Punggol Barat,15,SL,Seletar
314,SLSZ04,Seletar,15,SL,Seletar
316,SLSZ01,Seletar Aerospace Park,15,SL,Seletar
308,SBSZ02,Sembawang Springs,16,SB,Sembawang
321,SBSZ06,Sembawang Straits,16,SB,Sembawang
322,SBSZ07,The Wharves,16,SB,Sembawang
323,SBSZ08,Senoko North,16,SB,Sembawang
291,SBSZ03,Sembawang Central,16,SB,Sembawang
293,SBSZ01,Sembawang East,16,SB,Sembawang
296,SBSZ05,Admiralty,16,SB,Sembawang
299,SBSZ09,Senoko South,16,SB,Sembawang
300,SBSZ04,Sembawang North,16,SB,Sembawang
199,BDSZ04,Bedok North,17,BD,Bedok
153,BDSZ02,Bedok Reservoir,17,BD,Bedok
149,BDSZ01,Kaki Bukit,17,BD,Bedok
167,BDSZ05,Frankel,17,BD,Bedok
108,BDSZ06,Bedok South,17,BD,Bedok
92,BDSZ08,Bayshore,17,BD,Bedok
77,BDSZ07,Siglap,17,BD,Bedok
117,BDSZ03,Kembangan,17,BD,Bedok
115,BLSZ01,Tukang,18,BL,Boon Lay
123,BLSZ03,Samulun,18,BL,Boon Lay
124,BLSZ04,Shipyard,18,BL,Boon Lay
